Regime,Regime Description,Strategy,Months,Mean Monthly Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Cumulative Return In Regime,Hit Rate,Best Month,Worst Month,Best By Sharpe,Best By Annualized Return,Best By Cumulative Return
0,Equity growth / risk-on,Equal Weight,145,0.012414239017568184,0.15957524559846425,0.07822654253299952,2.0399117797024986,4.772926287720803,0.7379310344827587,0.08012583839551057,-0.0423828192034339,False,False,False
0,Equity growth / risk-on,60/40,145,0.012828770422682179,0.1652855285087822,0.062079929990673875,2.6624631911410446,5.2077486217875775,0.7862068965517242,0.07299826136705101,-0.036706841705926974,True,True,True
0,Equity growth / risk-on,Minimum Volatility,145,0.00680579801596467,0.0847970484956353,0.0522298174001735,1.6235371425088232,1.6309376765220347,0.6758620689655173,0.04821945122752669,-0.03258365860465351,False,False,False
0,Equity growth / risk-on,Maximum Sharpe,145,0.011687531423934623,0.14962651179775976,0.08360055814114571,1.7897788618245845,4.175693673366085,0.6413793103448275,0.07039957123010954,-0.042096931788858205,False,False,False
1,Stress / high-volatility equity weakness,Equal Weight,9,-0.02571362395962726,-0.26845751122438444,0.3080862296300666,-0.8713713415452998,-0.2354766638512643,0.4444444444444444,0.06984468108899722,-0.17649621379163427,False,False,False
1,Stress / high-volatility equity weakness,60/40,9,-0.012388266042374049,-0.13893706634833258,0.22425543087207753,-0.6195482794242193,-0.1213809112953077,0.4444444444444444,0.07692451665245592,-0.10442468363658286,False,False,False
1,Stress / high-volatility equity weakness,Minimum Volatility,9,0.0014165193945960954,0.01713129083014131,0.19085705815965265,0.08975979717664369,0.0005219970001590912,0.5555555555555556,0.07502461573291574,-0.07498455284891359,False,False,False
1,Stress / high-volatility equity weakness,Maximum Sharpe,9,0.013553275319984466,0.1753277143510621,0.23947038165076712,0.7321478052628329,0.10768279789521973,0.6666666666666666,0.1132634282800018,-0.10346149859340936,True,True,True
2,Mixed / transition regime,Equal Weight,44,0.0026628823518274765,0.0324267695333218,0.1272038145941864,0.2549197886617765,0.09232857639899228,0.5454545454545454,0.08510010307044835,-0.07402945883406742,False,False,False
2,Mixed / transition regime,60/40,44,0.0013322159911639314,0.01610425039157759,0.09555404998078011,0.16853550838312792,0.04322329471824826,0.5227272727272727,0.06051894259562185,-0.05494357742352318,False,False,False
2,Mixed / transition regime,Minimum Volatility,44,0.01001965336827675,0.1270881779844335,0.05653113871283151,2.2481092876975226,0.5419543213938471,0.7954545454545454,0.0497563195737436,-0.027371070738241743,True,True,True
2,Mixed / transition regime,Maximum Sharpe,44,0.008345483271961752,0.10487281325254294,0.10135737590027825,1.0346835868730797,0.4152231952489571,0.6590909090909091,0.06134309067543953,-0.08886262836205017,False,False,False
3,Commodity strength / inflation-like,Equal Weight,35,-0.0028076189122111994,-0.033176005515830664,0.14558964255651272,-0.22787339080768002,-0.12046933788238656,0.42857142857142855,0.08449751638881686,-0.08598836497986662,True,True,True
3,Commodity strength / inflation-like,60/40,35,-0.005599608667371588,-0.06516397835278176,0.12798827693801246,-0.5091402112112354,-0.1974174814719677,0.42857142857142855,0.066741989994068,-0.07450013386356336,False,False,False
3,Commodity strength / inflation-like,Minimum Volatility,35,-0.008737556991215995,-0.09995583009343079,0.0796256989218996,-1.2553212272770364,-0.27111154778077506,0.3142857142857143,0.06648618096734427,-0.05767988955809611,False,False,False
3,Commodity strength / inflation-like,Maximum Sharpe,35,-0.01342493882421957,-0.14972071811741572,0.11943666744135782,-1.2535573984507484,-0.38970620786638754,0.37142857142857144,0.060776919344553315,-0.08434863659774627,False,False,False
