Strategy,Final Value,CAGR,Volatility,Sharpe Ratio,Max Drawdown,Average Rebalance Turnover,Total Transaction Costs,Transaction Cost Bps
Equal Weight,42843.03467445918,0.07889729529488476,0.1378613533046095,0.6162219200515829,-0.4039158384428695,,,0
60/40,46088.64679670253,0.08267824419699754,0.1104920596936166,0.7722633628325234,-0.3246415984514671,,,0
Minimum Volatility,29730.527248437753,0.05807489412476485,0.0688279928252313,0.8551902406391684,-0.19691215317515098,,,0
Maximum Sharpe,54340.051671674584,0.09210867608131212,0.10604073790223674,0.8807580403783082,-0.2369006740305264,,,0
True Regime-Aware Strategy,51498.36641375752,0.08891309037859241,0.09135648694090916,0.9758815011553199,-0.22471426268569794,0.29040395275656905,0.0,0
Equal Weight,42699.992894717216,0.07871053572974596,0.13786127899255843,0.6149642584026798,-0.40409010240269727,,,5
60/40,45989.483548601376,0.08255753752762063,0.110491500368502,0.7712558426801439,-0.3248082047443335,,,5
Minimum Volatility,29437.050300526287,0.05753169342540865,0.06882922732681447,0.847702732289447,-0.19747160350749748,,,5
Maximum Sharpe,52164.41630890374,0.08980114802650019,0.10604869486154789,0.8607189243867636,-0.23929920773278623,,,5
True Regime-Aware Strategy,49799.18860870263,0.08702354038116744,0.09133179776978143,0.9570704128459632,-0.2254383431455359,0.29040395275656905,901.2983434261499,5
Equal Weight,42557.42602872556,0.07852380499616451,0.13786122742078957,0.6137064941667008,-0.40426432126116696,,,10
60/40,45890.532027003246,0.08243684232450832,0.11049095732101333,0.7702481988535991,-0.32497477446124357,,,10
Minimum Volatility,29146.448834654137,0.056988731242624935,0.06883100067227275,0.8402089148908792,-0.1980307022034058,,,10
Maximum Sharpe,50075.31510508605,0.08749785179819636,0.10606207169653349,0.8406398555721718,-0.2418237486814504,,,10
True Regime-Aware Strategy,48155.135937304774,0.08513617408225271,0.09131807124742727,0.9381365156813991,-0.226162245079346,0.29040395275656905,1765.810989188486,10
Equal Weight,42132.55925955523,0.07796378574527862,0.137861209147375,0.6099325921588611,-0.4047867073303816,,,25
60/40,45594.943339936726,0.08207482550352774,0.11048942584666674,0.7672245297483488,-0.3254742642269024,,,25
Minimum Volatility,28291.61901706154,0.055361274872716804,0.0688395532922032,0.8176913802003726,-0.19970589044559794,,,25
Maximum Sharpe,44293.690901886854,0.08061328720509442,0.10613469681092011,0.7801940863561465,-0.2493532725599107,,,25
True Regime-Aware Strategy,43536.42189930917,0.07948716267429456,0.09134269725985382,0.8806657448916563,-0.2283328800310156,0.29040395275656905,4151.492001767469,25
Equal Weight,41433.80091951523,0.07703099658975954,0.13786163349749656,0.6036407618372066,-0.40565644970325243,,,50
60/40,45106.48837384222,0.08147169337437088,0.11048719896292675,0.7621826490299578,-0.32630601630998946,,,50
Minimum Volatility,26921.854597117814,0.05265360932957264,0.06886457816386747,0.7800525665460623,-0.20249085652137344,,,50
Maximum Sharpe,36094.34493286085,0.0692230266698024,0.1063637825241438,0.6789443867956526,-0.26175659323527856,,,50
True Regime-Aware Strategy,36787.406699945,0.07011568048145955,0.09160267927075783,0.7830738576688449,-0.23194703728925092,0.29040395275656905,7505.649041179517,50
