Date,Experiment,Proposed Regime,Regime Description,Proposed Strategy,Implemented Regime,Implemented Strategy,Proposed Turnover,Actual Turnover,Transaction Cost,Executed Rebalance,Skipped Due To Threshold
2007-03-01,Monthly Base,0.0,Equity growth / risk-on,60/40,0,60/40,1.0,1.0,10.0,True,False
2007-03-02,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-05,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-06,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-07,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-08,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-09,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-12,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-13,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-14,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-15,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-16,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-19,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-20,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-21,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-22,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-23,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-26,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-27,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-28,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-29,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-03-30,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-02,Monthly Base,0.0,Equity growth / risk-on,60/40,0,60/40,0.006186289322611893,0.006186289322611893,0.062196586492570524,True,False
2007-04-03,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-04,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-05,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-09,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-10,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-11,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-12,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-13,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-16,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-17,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-18,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-19,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-20,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-23,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-24,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-25,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-26,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-27,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-04-30,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-01,Monthly Base,0.0,Equity growth / risk-on,60/40,0,60/40,0.017833549584526875,0.017833549584526875,0.18449648986778003,True,False
2007-05-02,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-03,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-04,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-07,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-08,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-09,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-10,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-11,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-14,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-15,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-16,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-17,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-18,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-21,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-22,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-23,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-24,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-25,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-29,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-30,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-05-31,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-01,Monthly Base,0.0,Equity growth / risk-on,60/40,0,60/40,0.022635880636066752,0.022635880636066752,0.23763545904376623,True,False
2007-06-04,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-05,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-06,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-07,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-08,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-11,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-12,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-13,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-14,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-15,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-18,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-19,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-20,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-21,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-22,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-25,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-26,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-27,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-28,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-06-29,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-02,Monthly Base,0.0,Equity growth / risk-on,60/40,0,60/40,0.004824240649349554,0.004824240649349554,0.050105566589502964,True,False
2007-07-03,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-05,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-06,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-09,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-10,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-11,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-12,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-13,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-16,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-17,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-18,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-19,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-20,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-23,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-24,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-25,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-26,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-27,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-30,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-07-31,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-01,Monthly Base,0.0,Equity growth / risk-on,60/40,0,60/40,0.026116733244428536,0.026116733244428536,0.26860541182901027,True,False
2007-08-02,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-03,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-06,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-07,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-08,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-09,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-10,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-13,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-14,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-15,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-16,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-17,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-20,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-21,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-22,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-23,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-24,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-27,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-28,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-29,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-30,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-08-31,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-09-04,Monthly Base,2.0,Mixed / transition regime,Minimum Volatility,2,Minimum Volatility,0.7604506426807904,0.7604506426807904,7.951892597701561,True,False
2007-09-05,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-06,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-07,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-10,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-11,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-12,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-13,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-14,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-17,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-18,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-19,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-20,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-21,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-24,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-25,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-26,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-27,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-09-28,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-01,Monthly Base,2.0,Mixed / transition regime,Minimum Volatility,2,Minimum Volatility,0.04836122798838399,0.04836122798838399,0.5147087283577421,True,False
2007-10-02,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-03,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-04,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-05,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-08,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-09,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-10,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-11,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-12,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-15,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-16,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-17,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-18,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-19,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-22,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-23,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-24,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-25,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-26,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-29,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-30,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-10-31,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-11-01,Monthly Base,0.0,Equity growth / risk-on,60/40,0,60/40,0.7710733811384058,0.7710733811384058,8.378559129674661,True,False
2007-11-02,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-05,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-06,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-07,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-08,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-09,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-12,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-13,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-14,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-15,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-16,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-19,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-20,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-21,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-23,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-26,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-27,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-28,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-29,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-11-30,Monthly Base,,,,0,60/40,0.0,0.0,0.0,False,False
2007-12-03,Monthly Base,2.0,Mixed / transition regime,Minimum Volatility,2,Minimum Volatility,0.7915157090420375,0.7915157090420375,8.533468979944011,True,False
2007-12-04,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-05,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-06,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-07,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-10,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-11,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-12,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-13,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-14,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-17,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-18,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-19,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-20,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-21,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-24,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-26,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-27,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-28,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2007-12-31,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-02,Monthly Base,2.0,Mixed / transition regime,Minimum Volatility,2,Minimum Volatility,0.041547619517039315,0.041547619517039315,0.44879301367704083,True,False
2008-01-03,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-04,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-07,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-08,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-09,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-10,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-11,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-14,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-15,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-16,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-17,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-18,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-22,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-23,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-24,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-25,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-28,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-29,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-30,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-01-31,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-01,Monthly Base,2.0,Mixed / transition regime,Minimum Volatility,2,Minimum Volatility,0.054950966465278424,0.054950966465278424,0.5970704592205434,True,False
2008-02-04,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-05,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-06,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-07,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-08,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-11,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-12,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-13,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-14,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-15,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-19,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-20,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-21,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-22,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-25,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-26,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-27,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-28,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-02-29,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-03-03,Monthly Base,2.0,Mixed / transition regime,Minimum Volatility,2,Minimum Volatility,0.10076000076630695,0.10076000076630695,1.1053923768944471,True,False
2008-03-04,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-03-05,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-03-06,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-03-07,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-03-10,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-03-11,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-03-12,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-03-13,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-03-14,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-03-17,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
2008-03-18,Monthly Base,,,,2,Minimum Volatility,0.0,0.0,0.0,False,False
