,DBC,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT,VNQ
2007-03-01,0.0,0.0,0.0,0.0,0.4009329813025515,0.0,0.0,0.5990670186974485,0.0,0.0
2007-03-02,0.0,0.0,0.0,0.0,0.40488286880349666,0.0,0.0,0.5951171311965033,0.0,0.0
2007-03-05,0.0,0.0,0.0,0.0,0.4073339048539109,0.0,0.0,0.592666095146089,0.0,0.0
2007-03-06,0.0,0.0,0.0,0.0,0.4029280457445948,0.0,0.0,0.5970719542554052,0.0,0.0
2007-03-07,0.0,0.0,0.0,0.0,0.40360128992607897,0.0,0.0,0.5963987100739209,0.0,0.0
2007-03-08,0.0,0.0,0.0,0.0,0.4015476545558161,0.0,0.0,0.5984523454441838,0.0,0.0
2007-03-09,0.0,0.0,0.0,0.0,0.40012566846046904,0.0,0.0,0.5998743315395311,0.0,0.0
2007-03-12,0.0,0.0,0.0,0.0,0.40043092699091914,0.0,0.0,0.5995690730090808,0.0,0.0
2007-03-13,0.0,0.0,0.0,0.0,0.4062191117238529,0.0,0.0,0.5937808882761472,0.0,0.0
2007-03-14,0.0,0.0,0.0,0.0,0.4041136895622306,0.0,0.0,0.5958863104377694,0.0,0.0
2007-03-15,0.0,0.0,0.0,0.0,0.40352631336580697,0.0,0.0,0.596473686634193,0.0,0.0
2007-03-16,0.0,0.0,0.0,0.0,0.4041725103128441,0.0,0.0,0.5958274896871559,0.0,0.0
2007-03-19,0.0,0.0,0.0,0.0,0.40097352461108954,0.0,0.0,0.5990264753889104,0.0,0.0
2007-03-20,0.0,0.0,0.0,0.0,0.40000377605563575,0.0,0.0,0.5999962239443642,0.0,0.0
2007-03-21,0.0,0.0,0.0,0.0,0.3964359448914702,0.0,0.0,0.6035640551085298,0.0,0.0
2007-03-22,0.0,0.0,0.0,0.0,0.3958178482122706,0.0,0.0,0.6041821517877294,0.0,0.0
2007-03-23,0.0,0.0,0.0,0.0,0.3950944987206066,0.0,0.0,0.6049055012793934,0.0,0.0
2007-03-26,0.0,0.0,0.0,0.0,0.39561219053953145,0.0,0.0,0.6043878094604687,0.0,0.0
2007-03-27,0.0,0.0,0.0,0.0,0.3961235120869781,0.0,0.0,0.6038764879130218,0.0,0.0
2007-03-28,0.0,0.0,0.0,0.0,0.39784361920519307,0.0,0.0,0.6021563807948068,0.0,0.0
2007-03-29,0.0,0.0,0.0,0.0,0.39724536768300944,0.0,0.0,0.6027546323169907,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.3969068553386941,0.0,0.0,0.6030931446613059,0.0,0.0
2007-04-02,0.0,0.0,0.0,0.0,0.3969032910197147,0.0,0.0,0.6030967089802853,0.0,0.0
2007-04-03,0.0,0.0,0.0,0.0,0.3941416767956,0.0,0.0,0.6058583232044,0.0,0.0
2007-04-04,0.0,0.0,0.0,0.0,0.3942505508534379,0.0,0.0,0.605749449146562,0.0,0.0
2007-04-05,0.0,0.0,0.0,0.0,0.39299915348737907,0.0,0.0,0.6070008465126209,0.0,0.0
2007-04-09,0.0,0.0,0.0,0.0,0.3915710377850285,0.0,0.0,0.6084289622149714,0.0,0.0
2007-04-10,0.0,0.0,0.0,0.0,0.3917822176718929,0.0,0.0,0.6082177823281072,0.0,0.0
2007-04-11,0.0,0.0,0.0,0.0,0.3924676669001719,0.0,0.0,0.6075323330998282,0.0,0.0
2007-04-12,0.0,0.0,0.0,0.0,0.3916422162014492,0.0,0.0,0.6083577837985508,0.0,0.0
2007-04-13,0.0,0.0,0.0,0.0,0.390153803832934,0.0,0.0,0.609846196167066,0.0,0.0
2007-04-16,0.0,0.0,0.0,0.0,0.3881667324224952,0.0,0.0,0.6118332675775048,0.0,0.0
2007-04-17,0.0,0.0,0.0,0.0,0.3885426479906847,0.0,0.0,0.6114573520093153,0.0,0.0
2007-04-18,0.0,0.0,0.0,0.0,0.3887967803199351,0.0,0.0,0.6112032196800649,0.0,0.0
2007-04-19,0.0,0.0,0.0,0.0,0.38883251198273744,0.0,0.0,0.6111674880172626,0.0,0.0
2007-04-20,0.0,0.0,0.0,0.0,0.3863445426200135,0.0,0.0,0.6136554573799864,0.0,0.0
2007-04-23,0.0,0.0,0.0,0.0,0.3877260648246115,0.0,0.0,0.6122739351753884,0.0,0.0
2007-04-24,0.0,0.0,0.0,0.0,0.3880871014885176,0.0,0.0,0.6119128985114823,0.0,0.0
2007-04-25,0.0,0.0,0.0,0.0,0.38577642206588475,0.0,0.0,0.6142235779341151,0.0,0.0
2007-04-26,0.0,0.0,0.0,0.0,0.3848225352080002,0.0,0.0,0.6151774647919999,0.0,0.0
2007-04-27,0.0,0.0,0.0,0.0,0.3850123951644469,0.0,0.0,0.614987604835553,0.0,0.0
2007-04-30,0.0,0.0,0.0,0.0,0.38801444199242374,0.0,0.0,0.6119855580075764,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.3874183050371101,0.0,0.0,0.6125816949628898,0.0,0.0
2007-05-02,0.0,0.0,0.0,0.0,0.38574873392094083,0.0,0.0,0.614251266079059,0.0,0.0
2007-05-03,0.0,0.0,0.0,0.0,0.38421238048260964,0.0,0.0,0.6157876195173903,0.0,0.0
2007-05-04,0.0,0.0,0.0,0.0,0.38391656792907997,0.0,0.0,0.61608343207092,0.0,0.0
2007-05-07,0.0,0.0,0.0,0.0,0.384069173157072,0.0,0.0,0.615930826842928,0.0,0.0
2007-05-08,0.0,0.0,0.0,0.0,0.3843827688090219,0.0,0.0,0.6156172311909781,0.0,0.0
2007-05-09,0.0,0.0,0.0,0.0,0.3829705603538369,0.0,0.0,0.617029439646163,0.0,0.0
2007-05-10,0.0,0.0,0.0,0.0,0.38605672448753325,0.0,0.0,0.6139432755124667,0.0,0.0
2007-05-11,0.0,0.0,0.0,0.0,0.383554207784117,0.0,0.0,0.6164457922158831,0.0,0.0
2007-05-14,0.0,0.0,0.0,0.0,0.3837292620176383,0.0,0.0,0.6162707379823618,0.0,0.0
2007-05-15,0.0,0.0,0.0,0.0,0.38363779765214584,0.0,0.0,0.6163622023478542,0.0,0.0
2007-05-16,0.0,0.0,0.0,0.0,0.38188413588320813,0.0,0.0,0.6181158641167918,0.0,0.0
2007-05-17,0.0,0.0,0.0,0.0,0.3817226034844704,0.0,0.0,0.6182773965155296,0.0,0.0
2007-05-18,0.0,0.0,0.0,0.0,0.3789880459529773,0.0,0.0,0.6210119540470228,0.0,0.0
2007-05-21,0.0,0.0,0.0,0.0,0.3794260112006015,0.0,0.0,0.6205739887993986,0.0,0.0
2007-05-22,0.0,0.0,0.0,0.0,0.37895258652789965,0.0,0.0,0.6210474134721004,0.0,0.0
2007-05-23,0.0,0.0,0.0,0.0,0.37846240839123513,0.0,0.0,0.6215375916087649,0.0,0.0
2007-05-24,0.0,0.0,0.0,0.0,0.38092064597392417,0.0,0.0,0.6190793540260758,0.0,0.0
2007-05-25,0.0,0.0,0.0,0.0,0.379681084777087,0.0,0.0,0.6203189152229129,0.0,0.0
2007-05-29,0.0,0.0,0.0,0.0,0.3783403346562416,0.0,0.0,0.6216596653437585,0.0,0.0
2007-05-30,0.0,0.0,0.0,0.0,0.3766637338651345,0.0,0.0,0.6233362661348655,0.0,0.0
2007-05-31,0.0,0.0,0.0,0.0,0.3768226450771246,0.0,0.0,0.6231773549228755,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.37464994195940154,0.0,0.0,0.6253500580405984,0.0,0.0
2007-06-04,0.0,0.0,0.0,0.0,0.3749948850887674,0.0,0.0,0.6250051149112326,0.0,0.0
2007-06-05,0.0,0.0,0.0,0.0,0.3751733241084024,0.0,0.0,0.6248266758915977,0.0,0.0
2007-06-06,0.0,0.0,0.0,0.0,0.3778262695506635,0.0,0.0,0.6221737304493364,0.0,0.0
2007-06-07,0.0,0.0,0.0,0.0,0.37974757093327255,0.0,0.0,0.6202524290667274,0.0,0.0
2007-06-08,0.0,0.0,0.0,0.0,0.37714594463936285,0.0,0.0,0.6228540553606373,0.0,0.0
2007-06-11,0.0,0.0,0.0,0.0,0.37612778778556,0.0,0.0,0.62387221221444,0.0,0.0
2007-06-12,0.0,0.0,0.0,0.0,0.37702663422307264,0.0,0.0,0.6229733657769274,0.0,0.0
2007-06-13,0.0,0.0,0.0,0.0,0.37430694893978883,0.0,0.0,0.625693051060211,0.0,0.0
2007-06-14,0.0,0.0,0.0,0.0,0.37287601007227483,0.0,0.0,0.6271239899277252,0.0,0.0
2007-06-15,0.0,0.0,0.0,0.0,0.37257188849024814,0.0,0.0,0.6274281115097518,0.0,0.0
2007-06-18,0.0,0.0,0.0,0.0,0.372730270367748,0.0,0.0,0.627269729632252,0.0,0.0
2007-06-19,0.0,0.0,0.0,0.0,0.37328440444823807,0.0,0.0,0.626715595551762,0.0,0.0
